Year,Inflation Rate
1960,
1961,7.124713645
1962,-7.97133394
1963,13.55122875
1964,16.02500351
1965,6.963864954
1966,36.85927463
1967,36.96646543
1968,0.848491736
1969,-1.284129678
1970,9.936410101
1971,-0.11386614
1972,1.84633286
1973,3.916253775
1974,15.90691161
1975,87.96914908
1976,-1.891087559
1977,13.5114663
1978,3.664738901
1979,6.065285706
1980,3.064775152
1981,7.710701815
1982,4.883180316
1983,2.449212642
1984,16.85668927
1985,4.564129996
1986,-7.02173255
1987,0.665276478
1988,2.225376326
1989,5.297086761
1990,13.46146891
1991,14.97893643
1992,7.283283168
1993,13.87050258
1994,17.19130291
1995,51.26658305
1996,10.92141576
1997,15.62150244
1998,2.228200646
1999,-2.12409472
2000,2.879693421
2001,1.04948125
2002,-5.195605515
2003,21.65864245
2004,13.03200064
2005,9.05229439
2006,5.083393267
2007,12.60997105
2008,14.85688586
2009,7.958504101
2010,2.893756611
2011,8.395680775
2012,5.09102559
2013,4.459819577
2014,3.050515257
2015,0.285735939
2016,5.495377151
2017,7.343924832
2018,-0.801264345
