Year,GDP  Growth Rate
1960,
1961,-4.297526048
1962,11.33379837
1963,-9.820444414
1964,-12.46499268
1965,7.009529255
1966,7.008910823
1967,6.91601751
1968,7.013780928
1969,11.00737015
1970,6.001425245
1971,1.206640702
1972,0.263068272
1973,3.438088136
1974,1.409823571
1975,-2.113825423
1976,19.50457717
1977,1.99410948
1978,9.150840818
1979,11.86990804
1980,8.951612331
1981,5.43619948
1982,1.810846446
1983,5.980349936
1984,-4.240773281
1985,4.402748336
1986,5.472137486
1987,-0.024036108
1988,4.498824993
1989,-0.036534274
1990,-2.399291097
1991,-2.514379654
1992,5.872725234
1993,-8.108691874
1994,-50.2480671
1995,35.22407831
1996,12.74569576
1997,13.84975249
1998,8.858669496
1999,4.262760871
2000,8.370910445
2001,8.484539669
2002,13.19206519
2003,2.202376415
2004,7.447699419
2005,9.377875686
2006,9.227091484
2007,7.681564984
2008,11.1672534
2009,6.255647061
2010,7.338194817
2011,7.783920275
2012,8.820321117
2013,4.713550714
2014,7.62457575
2015,8.867977374
2016,5.981314913
2017,6.057831319
2018,8.671683394
