Year,Population Growth Rate
1960,2.510835763
1961,2.114806936
1962,1.804995114
1963,1.704489937
1964,1.877151916
1965,2.22728876
1966,2.627732131
1967,2.943183476
1968,3.135118129
1969,3.161917815
1970,3.084347866
1971,2.991022171
1972,2.946897686
1973,2.94531875
1974,3.002653622
1975,3.097585993
1976,3.188319862
1977,3.259015278
1978,3.326981086
1979,3.389831729
1980,3.444730215
1981,3.357127585
1982,3.241717796
1983,3.325439671
1984,3.655163397
1985,4.051232628
1986,4.716439843
1987,5.08637706
1988,4.445556532
1989,2.628646818
1990,0.163354542
1991,-2.852062922
1992,-5.538714858
1993,-6.766223086
1994,-5.370069093
1995,-1.694902847
1996,2.981114124
1997,6.546111035
1998,8.117928251
1999,7.44855608
2000,5.604957424
2001,3.680935197
2002,2.352149019
2003,1.532051953
2004,1.431341925
2005,1.822930211
2006,2.271704584
2007,2.516033988
2008,2.668241259
2009,2.67516791
2010,2.588850081
2011,2.498503397
2012,2.459912832
2013,2.451902154
2014,2.485533644
2015,2.542690207
2016,2.602355764
2017,2.63966475
2018,2.644008891
